playerID,award,year,lgID,pos,awardID
malonjo01,Art Ross,1917,NHL,,1
cleghod01,Art Ross,1918,NHL,,2
malonjo01,Art Ross,1919,NHL,,3
lalonne01,Art Ross,1920,NHL,,4
broadpu01,Art Ross,1921,NHL,,5
dyeba01,Art Ross,1922,NHL,,6
dennecy01,Art Ross,1923,NHL,,7
nighbfr01,Hart,1923,NHL,,8
dyeba01,Art Ross,1924,NHL,,9
burchbi01,Hart,1924,NHL,,10
nighbfr01,Lady Byng,1924,NHL,,11
stewane01,Art Ross,1925,NHL,,12
stewane01,Hart,1925,NHL,,13
nighbfr01,Lady Byng,1925,NHL,,14
cookbi01,Art Ross,1926,NHL,,15
gardihe01,Hart,1926,NHL,,16
burchbi01,Lady Byng,1926,NHL,,17
hainsge01,Vezina,1926,NHL,,18
morenho01,Art Ross,1927,NHL,,19
morenho01,Hart,1927,NHL,,20
bouchfr01,Lady Byng,1927,NHL,,21
hainsge01,Vezina,1927,NHL,,22
baileac01,Art Ross,1928,NHL,,23
wortero01,Hart,1928,NHL,,24
bouchfr01,Lady Byng,1928,NHL,,25
hainsge01,Vezina,1928,NHL,,26
weilaco01,Art Ross,1929,NHL,,27
stewane01,Hart,1929,NHL,,28
bouchfr01,Lady Byng,1929,NHL,,29
thompti01,Vezina,1929,NHL,,30
morenho01,Art Ross,1930,NHL,,31
clancki01,First Team All-Star,1930,NHL,D,32
cookbi01,First Team All-Star,1930,NHL,RW,33
gardich01,First Team All-Star,1930,NHL,G,34
joliaau01,First Team All-Star,1930,NHL,LW,35
morenho01,First Team All-Star,1930,NHL,C,36
shoreed01,First Team All-Star,1930,NHL,D,37
morenho01,Hart,1930,NHL,,38
bouchfr01,Lady Byng,1930,NHL,,39
bouchfr01,Second Team All-Star,1930,NHL,C,40
clappdi01,Second Team All-Star,1930,NHL,RW,41
cookbu01,Second Team All-Star,1930,NHL,LW,42
johnsch01,Second Team All-Star,1930,NHL,D,43
manthsy01,Second Team All-Star,1930,NHL,D,44
thompti01,Second Team All-Star,1930,NHL,G,45
wortero01,Vezina,1930,NHL,,46
jacksbu01,Art Ross,1931,NHL,,47
cookbi01,First Team All-Star,1931,NHL,RW,48
gardich01,First Team All-Star,1931,NHL,G,49
jacksbu01,First Team All-Star,1931,NHL,LW,50
johnsch01,First Team All-Star,1931,NHL,D,51
morenho01,First Team All-Star,1931,NHL,C,52
shoreed01,First Team All-Star,1931,NHL,D,53
morenho01,Hart,1931,NHL,,54
primejo01,Lady Byng,1931,NHL,,55
clancki01,Second Team All-Star,1931,NHL,D,56
conacch01,Second Team All-Star,1931,NHL,RW,57
joliaau01,Second Team All-Star,1931,NHL,LW,58
manthsy01,Second Team All-Star,1931,NHL,D,59
smithho01,Second Team All-Star,1931,NHL,C,60
wortero01,Second Team All-Star,1931,NHL,G,61
gardich01,Vezina,1931,NHL,,62
cookbi01,Art Ross,1932,NHL,,63
vossca01,Calder,1932,NHL,,64
bouchfr01,First Team All-Star,1932,NHL,C,65
cookbi01,First Team All-Star,1932,NHL,RW,66
johnsch01,First Team All-Star,1932,NHL,D,67
northba01,First Team All-Star,1932,NHL,LW,68
roachjo01,First Team All-Star,1932,NHL,G,69
shoreed01,First Team All-Star,1932,NHL,D,70
shoreed01,Hart,1932,NHL,,71
bouchfr01,Lady Byng,1932,NHL,,72
clancki01,Second Team All-Star,1932,NHL,D,73
conacch01,Second Team All-Star,1932,NHL,RW,74
conacli01,Second Team All-Star,1932,NHL,D,75
gardich01,Second Team All-Star,1932,NHL,G,76
jacksbu01,Second Team All-Star,1932,NHL,LW,77
morenho01,Second Team All-Star,1932,NHL,C,78
thompti01,Vezina,1932,NHL,,79
conacch01,Art Ross,1933,NHL,,80
blincru01,Calder,1933,NHL,,81
bouchfr01,First Team All-Star,1933,NHL,C,82
clancki01,First Team All-Star,1933,NHL,D,83
conacch01,First Team All-Star,1933,NHL,RW,84
conacli01,First Team All-Star,1933,NHL,D,85
gardich01,First Team All-Star,1933,NHL,G,86
jacksbu01,First Team All-Star,1933,NHL,LW,87
joliaau01,Hart,1933,NHL,,88
bouchfr01,Lady Byng,1933,NHL,,89
cookbi01,Second Team All-Star,1933,NHL,RW,90
johnsch01,Second Team All-Star,1933,NHL,D,91
joliaau01,Second Team All-Star,1933,NHL,LW,92
primejo01,Second Team All-Star,1933,NHL,C,93
shoreed01,Second Team All-Star,1933,NHL,D,94
wortero01,Second Team All-Star,1933,NHL,G,95
gardich01,Vezina,1933,NHL,,96
conacch01,Art Ross,1934,NHL,,97
schrisw01,Calder,1934,NHL,,98
bouchfr01,First Team All-Star,1934,NHL,C,99
chabolo01,First Team All-Star,1934,NHL,G,100
conacch01,First Team All-Star,1934,NHL,RW,101
jacksbu01,First Team All-Star,1934,NHL,LW,102
seibeea01,First Team All-Star,1934,NHL,D,103
shoreed01,First Team All-Star,1934,NHL,D,104
shoreed01,Hart,1934,NHL,,105
bouchfr01,Lady Byng,1934,NHL,,106
clappdi01,Second Team All-Star,1934,NHL,RW,107
coultar01,Second Team All-Star,1934,NHL,D,108
joliaau01,Second Team All-Star,1934,NHL,LW,109
thompti01,Second Team All-Star,1934,NHL,G,110
weilaco01,Second Team All-Star,1934,NHL,C,111
wentwcy01,Second Team All-Star,1934,NHL,D,112
chabolo01,Vezina,1934,NHL,,113
schrisw01,Art Ross,1935,NHL,,114
karakmi01,Calder,1935,NHL,,115
conacch01,First Team All-Star,1935,NHL,RW,116
schrisw01,First Team All-Star,1935,NHL,LW,117
shoreed01,First Team All-Star,1935,NHL,D,118
siebeba01,First Team All-Star,1935,NHL,D,119
smithho01,First Team All-Star,1935,NHL,C,120
thompti01,First Team All-Star,1935,NHL,G,121
shoreed01,Hart,1935,NHL,,122
romnedo01,Lady Byng,1935,NHL,,123
cudewi01,Second Team All-Star,1935,NHL,G,124
dilloce01,Second Team All-Star,1935,NHL,RW,125
goodfeb01,Second Team All-Star,1935,NHL,D,126
seibeea01,Second Team All-Star,1935,NHL,D,127
thomppa01,Second Team All-Star,1935,NHL,LW,128
thomsbi02,Second Team All-Star,1935,NHL,C,129
thompti01,Vezina,1935,NHL,,130
schrisw01,Art Ross,1936,NHL,,131
appssy01,Calder,1936,NHL,,132
auriela01,First Team All-Star,1936,NHL,RW,133
barryma01,First Team All-Star,1936,NHL,C,134
goodfeb01,First Team All-Star,1936,NHL,D,135
jacksbu01,First Team All-Star,1936,NHL,LW,136
siebeba01,First Team All-Star,1936,NHL,D,137
smithno01,First Team All-Star,1936,NHL,G,138
siebeba01,Hart,1936,NHL,,139
barryma01,Lady Byng,1936,NHL,,140
chapmar01,Second Team All-Star,1936,NHL,C,141
conacli01,Second Team All-Star,1936,NHL,D,142
cudewi01,Second Team All-Star,1936,NHL,G,143
dilloce01,Second Team All-Star,1936,NHL,RW,144
schrisw01,Second Team All-Star,1936,NHL,LW,145
seibeea01,Second Team All-Star,1936,NHL,D,146
smithno01,Vezina,1936,NHL,,147
drillgo01,Art Ross,1937,NHL,,148
dahlscu01,Calder,1937,NHL,,149
cowlebi01,First Team All-Star,1937,NHL,C,150
dilloce01,First Team All-Star,1937,NHL,RW,151
drillgo01,First Team All-Star,1937,NHL,RW,152
shoreed01,First Team All-Star,1937,NHL,D,153
siebeba01,First Team All-Star,1937,NHL,D,154
thomppa01,First Team All-Star,1937,NHL,LW,155
thompti01,First Team All-Star,1937,NHL,G,156
shoreed01,Hart,1937,NHL,,157
drillgo01,Lady Byng,1937,NHL,,158
appssy01,Second Team All-Star,1937,NHL,C,159
blaketo01,Second Team All-Star,1937,NHL,LW,160
coultar01,Second Team All-Star,1937,NHL,D,161
kerrda01,Second Team All-Star,1937,NHL,G,162
seibeea01,Second Team All-Star,1937,NHL,D,163
thompti01,Vezina,1937,NHL,,164
blaketo01,Art Ross,1938,NHL,,165
brimsfr01,Calder,1938,NHL,,166
appssy01,First Team All-Star,1938,NHL,C,167
blaketo01,First Team All-Star,1938,NHL,LW,168
brimsfr01,First Team All-Star,1938,NHL,G,169
clappdi01,First Team All-Star,1938,NHL,D,170
drillgo01,First Team All-Star,1938,NHL,RW,171
shoreed01,First Team All-Star,1938,NHL,D,172
blaketo01,Hart,1938,NHL,,173
smithcl01,Lady Byng,1938,NHL,,174
bauerbo01,Second Team All-Star,1938,NHL,RW,175
colvine01,Second Team All-Star,1938,NHL,C,176
coultar01,Second Team All-Star,1938,NHL,D,177
gottsjo01,Second Team All-Star,1938,NHL,LW,178
robinea01,Second Team All-Star,1938,NHL,G,179
seibeea01,Second Team All-Star,1938,NHL,D,180
brimsfr01,Vezina,1938,NHL,,181
schmimi01,Art Ross,1939,NHL,,182
macdoki01,Calder,1939,NHL,,183
blaketo01,First Team All-Star,1939,NHL,LW,184
clappdi01,First Team All-Star,1939,NHL,D,185
goodfeb01,First Team All-Star,1939,NHL,D,186
hextabr01,First Team All-Star,1939,NHL,RW,187
kerrda01,First Team All-Star,1939,NHL,G,188
schmimi01,First Team All-Star,1939,NHL,C,189
goodfeb01,Hart,1939,NHL,,190
bauerbo01,Lady Byng,1939,NHL,,191
bauerbo01,Second Team All-Star,1939,NHL,RW,192
brimsfr01,Second Team All-Star,1939,NHL,G,193
colvine01,Second Team All-Star,1939,NHL,C,194
coultar01,Second Team All-Star,1939,NHL,D,195
dumarwo01,Second Team All-Star,1939,NHL,LW,196
seibeea01,Second Team All-Star,1939,NHL,D,197
kerrda01,Vezina,1939,NHL,,198
cowlebi01,Art Ross,1940,NHL,,199
quiltjo01,Calder,1940,NHL,,200
brodatu01,First Team All-Star,1940,NHL,G,201
clappdi01,First Team All-Star,1940,NHL,D,202
cowlebi01,First Team All-Star,1940,NHL,C,203
hextabr01,First Team All-Star,1940,NHL,RW,204
schrisw01,First Team All-Star,1940,NHL,LW,205
stanowa01,First Team All-Star,1940,NHL,D,206
cowlebi01,Hart,1940,NHL,,207
bauerbo01,Lady Byng,1940,NHL,,208
appssy01,Second Team All-Star,1940,NHL,C,209
bauerbo01,Second Team All-Star,1940,NHL,RW,210
brimsfr01,Second Team All-Star,1940,NHL,G,211
dumarwo01,Second Team All-Star,1940,NHL,LW,212
helleot01,Second Team All-Star,1940,NHL,D,213
seibeea01,Second Team All-Star,1940,NHL,D,214
brodatu01,Vezina,1940,NHL,,215
hextabr01,Art Ross,1941,NHL,,216
warwigr01,Calder,1941,NHL,,217
anderto01,First Team All-Star,1941,NHL,D,218
appssy01,First Team All-Star,1941,NHL,C,219
brimsfr01,First Team All-Star,1941,NHL,G,220
hextabr01,First Team All-Star,1941,NHL,RW,221
patrily01,First Team All-Star,1941,NHL,LW,222
seibeea01,First Team All-Star,1941,NHL,D,223
anderto01,Hart,1941,NHL,,224
appssy01,Lady Byng,1941,NHL,,225
abelsi01,Second Team All-Star,1941,NHL,LW,226
brodatu01,Second Team All-Star,1941,NHL,G,227
drillgo01,Second Team All-Star,1941,NHL,RW,228
eganpa01,Second Team All-Star,1941,NHL,D,229
mcdonbu01,Second Team All-Star,1941,NHL,D,230
watsoph01,Second Team All-Star,1941,NHL,C,231
brimsfr01,Vezina,1941,NHL,,232
bentldo01,Art Ross,1942,NHL,,233
stewaga01,Calder,1942,NHL,,234
bentldo01,First Team All-Star,1942,NHL,LW,235
carrlo01,First Team All-Star,1942,NHL,RW,236
cowlebi01,First Team All-Star,1942,NHL,C,237
mowerjo01,First Team All-Star,1942,NHL,G,238
seibeea01,First Team All-Star,1942,NHL,D,239
stewaja01,First Team All-Star,1942,NHL,D,240
cowlebi01,Hart,1942,NHL,,241
bentlma01,Lady Byng,1942,NHL,,242
appssy01,Second Team All-Star,1942,NHL,C,243
brimsfr01,Second Team All-Star,1942,NHL,G,244
crawfja01,Second Team All-Star,1942,NHL,D,245
