coachID	year	tmID	lgID	order	games	wins	losses	ties	coachNumber
abelsi01c	1952	CHI	NHL	1	70	27	28	15	1
abelsi01c	1953	CHI	NHL	1	70	12	51	7	2
abelsi01c	1957	DET	NHL	2	33	16	12	5	3
abelsi01c	1958	DET	NHL	1	70	25	37	8	4
abelsi01c	1959	DET	NHL	1	70	26	29	15	5
abelsi01c	1960	DET	NHL	1	70	25	29	16	6
abelsi01c	1961	DET	NHL	1	70	23	33	14	7
abelsi01c	1962	DET	NHL	1	70	32	25	13	8
abelsi01c	1963	DET	NHL	1	70	30	29	11	9
abelsi01c	1964	DET	NHL	1	70	40	23	7	10
abelsi01c	1965	DET	NHL	1	70	31	27	12	11
abelsi01c	1966	DET	NHL	1	70	27	39	4	12
abelsi01c	1967	DET	NHL	1	74	27	35	12	13
abelsi01c	1969	DET	NHL	2	74	38	21	15	14
abelsi01c	1971	STL	NHL	1	10	3	6	1	15
abelsi01c	1975	KCS	NHL	2	3	0	3	0	16
adamsja01c	1927	DTC	NHL	1	44	19	19	6	17
adamsja01c	1928	DTC	NHL	1	44	19	16	9	18
adamsja01c	1929	DTC	NHL	1	44	14	24	6	19
adamsja01c	1930	DTF	NHL	1	44	16	21	7	20
adamsja01c	1931	DTF	NHL	1	48	18	20	10	21
adamsja01c	1932	DET	NHL	1	48	25	15	8	22
adamsja01c	1933	DET	NHL	1	48	24	14	10	23
adamsja01c	1934	DET	NHL	1	48	19	22	7	24
adamsja01c	1935	DET	NHL	1	48	24	16	8	25
adamsja01c	1936	DET	NHL	1	48	25	14	9	26
adamsja01c	1937	DET	NHL	1	48	12	25	11	27
adamsja01c	1938	DET	NHL	1	48	18	24	6	28
adamsja01c	1939	DET	NHL	1	48	16	26	6	29
adamsja01c	1940	DET	NHL	1	48	21	16	11	30
adamsja01c	1941	DET	NHL	1	48	19	25	4	31
adamsja01c	1942	DET	NHL	1	50	25	14	11	32
adamsja01c	1943	DET	NHL	1	50	26	18	6	33
adamsja01c	1944	DET	NHL	1	50	31	14	5	34
adamsja01c	1945	DET	NHL	1	50	20	20	10	35
adamsja01c	1946	DET	NHL	1	60	22	27	11	36
agnewga01c	2006	CBS	NHL	2	5	0	4	1	37
allenke01c	1967	PHI	NHL	1	74	31	32	11	38
allenke01c	1968	PHI	NHL	1	76	20	35	21	39
