year	round	series	tmIDWinner	tmIDLoser	winsForWinner	lossesForWinner	ties	GoalsWinner	GoalsLoser	SeriesID
1912	SCF		VA1	QU1	2	1	0	16	12	1
1913	F		TBS	MOC	1	1	0	6	2	2
1913	SCF		TBS	VA1	3	0	0	13	8	3
1914	F		OT1	MOW	1	1	0	4	1	4
1914	SCF		VML	OT1	3	0	0	26	8	5
1915	SCF		MOC	PO1	3	2	0	15	13	6
1916	F		MOC	OT1	1	1	0	7	6	7
1916	SCF		SEA	MOC	3	1	0	23	11	8
1917	F		TOA	MTL	1	1	0	10	7	9
1917	F		VML	SEA	1	0	1	3	2	10
1917	SCF		TOA	VML	3	2	0	18	21	11
1918	F		MTL	OTS	4	1	0	26	18	12
1918	F		SEA	VML	1	1	0	7	5	13
1918	SCF		SEA	MTL	2	2	0	19	10	14
1919	F		SEA	VML	1	1	0	7	3	15
1919	SCF		SEA	OTS	3	2	0	15	11	16
1920	F		OTS	TRS	2	0	0	7	0	17
1920	F		VML	SEA	2	0	0	13	2	18
1920	SCF		OTS	VML	3	2	0	12	11	19
1921	F		TRS	OTS	1	0	1	5	4	20
1921	F		VML	SEA	2	0	0	2	0	21
1921	SF		REG	CAT	1	0	1	2	1	22
1921	F		REG	EDE	1	0	1	3	2	23
1921	SCSF		VML	REG	1	1	0	5	2	24
1921	SCF		TRS	VML	3	2	0	16	9	25
1922	F		OTS	MTL	1	1	0	3	2	26
1922	F		VAM	VC1	1	1	0	5	3	27
1922	F		EDE	REG	1	0	1	4	3	28
1922	SCSF		OTS	VAM	3	1	0	10	7	29
1922	SCF		OTS	EDE	2	0	0	3	1	30
1923	F		MTL	OTS	2	0	0	5	2	31
1923	F		VAM	SEA	1	0	1	4	3	32
1923	F		CAT	REG	1	0	1	4	2	33
1923	WP		CAT	VAM	2	1	0	10	7	34
1923	SCSF		MTL	VAM	2	0	0	5	3	35
1923	SCF		MTL	CAT	2	0	0	9	1	36
1924	SF		MTL	TRS	2	0	0	5	2	37
1924	F		MTL	HAM	0	0	0	0	0	38
1924	SF		VIC	SAS	1	0	1	6	4	39
1924	F		VIC	CAT	1	0	1	3	1	40
1924	SCF		VIC	MTL	3	1	0	16	8	41
1925	SF		MTM	PIP	1	0	1	6	4	42
1925	F		MTM	OTS	1	0	1	2	1	43
1925	SF		VIC	SAS	1	0	1	4	3	44
1925	F		VIC	EDE	1	0	1	5	3	45
1925	SCF		MTM	VIC	3	1	0	10	3	46
1926	QF	A	MTL	MTM	1	0	1	2	1	47
1926	QF	B	BOS	CHI	1	0	1	10	5	48
1926	SF	C	OTS	MTL	1	0	1	5	1	49
1926	SF	D	BOS	NYR	1	0	1	3	1	50
1926	SCF	E	OTS	BOS	2	0	2	7	3	51
1927	QF	A	MTM	OTS	2	0	0	3	1	52
1927	QF	B	NYR	PIP	1	1	0	6	4	53
1927	SF	C	MTM	MTL	1	0	1	3	2	54
1927	SF	D	NYR	BOS	1	0	1	5	2	55
1927	SCF	E	NYR	MTM	3	2	0	5	6	56
1928	SF	A	BOS	MTL	3	0	0	5	2	57
1928	QF	B	NYR	NYA	1	0	1	1	0	58
1928	QF	C	TOR	DTC	2	0	0	7	2	59
1928	SF	D	NYR	TOR	2	0	0	3	1	60
1928	SCF	E	BOS	NYR	2	0	0	4	1	61
1929	SF	A	BOS	MTM	3	1	0	11	5	62
1929	QF	B	MTL	CHI	1	0	1	3	2	63
1929	QF	C	NYR	OTS	1	0	1	6	3	64
1929	SF	D	MTL	NYR	2	0	0	4	1	65
1929	SCF	E	MTL	BOS	2	0	0	7	3	66
1930	SF	A	MTL	BOS	3	2	0	13	13	67
1930	QF	B	CHI	TOR	1	0	1	4	3	68
1930	QF	C	NYR	MTM	2	0	0	8	1	69
1930	SF	D	CHI	NYR	2	0	0	3	0	70
1930	SCF	E	MTL	CHI	3	2	0	11	8	71
1931	SF	A	NYR	MTL	3	1	0	13	9	72
1931	QF	B	TOR	CHI	1	1	0	6	2	73
1931	QF	C	MTM	DTF	1	0	1	3	1	74
1931	SF	D	TOR	MTM	1	0	1	4	3	75
1931	SCF	E	TOR	NYR	3	0	0	18	10	76
1932	SF	A	TOR	BOS	3	2	0	9	7	77
1932	QF	B	DET	MTM	2	0	0	5	2	78
1932	QF	C	NYR	MTL	1	0	1	8	5	79
1932	SF	D	NYR	DET	2	0	0	6	3	80
1932	SCF	E	NYR	TOR	3	1	0	11	5	81
1933	SF	A	DET	TOR	3	2	0	11	12	82
1933	QF	B	CHI	MTL	1	0	1	4	3	83
1933	QF	C	MTM	NYR	1	0	1	2	1	84
1933	SF	D	CHI	MTM	2	0	0	6	2	85
1933	SCF	E	CHI	DET	3	1	0	9	7	86
1934	SF	A	TOR	BOS	3	1	0	7	2	87
1934	QF	B	MTM	CHI	1	0	1	1	0	88
1934	QF	C	NYR	MTL	2	0	0	6	5	89
1934	SF	D	MTM	NYR	1	0	1	5	4	90
1934	SCF	E	MTM	TOR	3	0	0	10	4	91
1935	SF	A	DET	MTM	3	0	0	6	1	92
1935	QF	B	TOR	BOS	1	1	0	8	6	93
1935	QF	C	NYA	CHI	1	1	0	7	5	94
1935	SF	D	TOR	NYA	2	1	0	6	3	95
1935	SCF	E	DET	TOR	3	1	0	18	11	96
1936	SF	A	DET	MTL	3	2	0	13	8	97
1936	QF	B	MTM	BOS	2	1	0	8	6	98
1936	QF	C	NYR	TOR	2	0	0	5	1	99
1936	SF	D	NYR	MTM	2	0	0	5	0	100
1936	SCF	E	DET	NYR	3	2	0	9	8	101
1937	SF	A	TOR	BOS	3	0	0	6	3	102
1937	QF	B	NYA	NYR	2	1	0	8	7	103
1937	QF	C	CHI	MTL	2	1	0	11	8	104
1937	SF	D	CHI	NYA	2	1	0	5	5	105
1937	SCF	E	CHI	TOR	3	1	0	10	8	106
1938	SF	A	BOS	NYR	4	3	0	14	12	107
1938	QF	B	TOR	NYA	2	0	0	6	0	108
1938	QF	C	DET	MTL	2	1	0	8	5	109
1938	SF	D	TOR	DET	2	1	0	10	8	110
1938	SCF	E	BOS	TOR	4	1	0	12	6	111
1939	SF	A	NYR	BOS	4	2	0	15	9	112
1939	QF	B	TOR	CHI	2	0	0	5	3	113
1939	QF	C	DET	NYA	2	1	0	9	7	114
1939	SF	D	TOR	DET	2	0	0	5	2	115
1939	SCF	E	NYR	TOR	4	2	0	14	11	116
1940	SF	A	BOS	TOR	4	3	0	15	17	117
1940	QF	B	DET	NYR	2	1	0	6	6	118
1940	QF	C	CHI	MTL	2	1	0	8	7	119
1940	SF	D	DET	CHI	2	0	0	5	2	120
1940	SCF	E	BOS	DET	4	0	0	12	6	121
1941	SF	A	TOR	NYR	4	2	0	13	12	122
1941	QF	B	BOS	CHI	2	1	0	5	7	123
1941	QF	C	DET	MTL	2	1	0	8	8	124
1941	SF	D	DET	BOS	2	0	0	9	5	125
1941	SCF	E	TOR	DET	4	3	0	25	19	126
1942	SF	A	DET	TOR	4	2	0	20	17	127
1942	SF	B	BOS	MTL	4	1	0	18	17	128
1942	SCF	C	DET	BOS	4	0	0	16	5	129
1943	SF	A	MTL	TOR	4	1	0	23	6	130
1943	SF	B	CHI	DET	4	1	0	17	8	131
1943	SCF	C	MTL	CHI	4	0	0	16	8	132
1944	SF	A	TOR	MTL	4	2	0	15	21	133
1944	SF	B	DET	BOS	4	3	0	22	22	134
1944	SCF	C	TOR	DET	4	3	0	9	9	135
1945	SF	A	MTL	CHI	4	0	0	26	7	136
1945	SF	B	BOS	DET	4	1	0	16	10	137
1945	SCF	C	MTL	BOS	4	1	0	19	13	138
1946	SF	A	MTL	BOS	4	1	0	16	10	139
1946	SF	B	TOR	DET	4	1	0	18	14	140
1946	SCF	C	TOR	MTL	4	2	0	13	13	141
1947	SF	A	TOR	BOS	4	1	0	20	13	142
1947	SF	B	DET	NYR	4	2	0	17	12	143
1947	SCF	C	TOR	DET	4	0	0	18	7	144
1948	SF	A	DET	MTL	4	3	0	17	14	145
1948	SF	B	TOR	BOS	4	1	0	16	10	146
1948	SCF	C	TOR	DET	4	0	0	12	5	147
1949	SF	A	DET	TOR	4	3	0	10	11	148
1949	SF	B	NYR	MTL	4	1	0	15	7	149
1949	SCF	C	DET	NYR	4	3	0	22	17	150
1950	SF	A	MTL	DET	4	2	0	13	12	151
1950	SF	B	TOR	BOS	4	1	1	17	5	152
1950	SCF	C	TOR	MTL	4	1	0	13	10	153
1951	SF	A	DET	TOR	4	0	0	13	3	154
1951	SF	B	MTL	BOS	4	3	0	18	12	155
1951	SCF	C	DET	MTL	4	0	0	11	2	156
1952	SF	A	BOS	DET	4	2	0	21	21	157
1952	SF	B	MTL	CHI	4	3	0	18	14	158
1952	SCF	C	MTL	BOS	4	1	0	16	9	159
1953	SF	A	DET	TOR	4	1	0	15	8	160
1953	SF	B	MTL	BOS	4	0	0	16	4	161
1953	SCF	C	DET	MTL	4	3	0	14	12	162
1954	SF	A	DET	TOR	4	0	0	14	6	163
1954	SF	B	MTL	BOS	4	1	0	16	9	164
1954	SCF	C	DET	MTL	4	3	0	27	20	165
1955	SF	A	MTL	NYR	4	1	0	24	9	166
1955	SF	B	DET	TOR	4	1	0	14	10	167
1955	SCF	C	MTL	DET	4	1	0	18	9	168
1956	SF	A	BOS	DET	4	1	0	15	14	169
1956	SF	B	MTL	NYR	4	1	0	22	12	170
1956	SCF	C	MTL	BOS	4	1	0	15	6	171
1957	SF	A	MTL	DET	4	0	0	19	6	172
1957	SF	B	BOS	NYR	4	2	0	28	16	173
1957	SCF	C	MTL	BOS	4	2	0	16	14	174
1958	SF	A	MTL	CHI	4	2	0	21	16	175
1958	SF	B	TOR	BOS	4	3	0	20	21	176
1958	SCF	C	MTL	TOR	4	1	0	18	12	177
1959	SF	A	MTL	CHI	4	0	0	14	6	178
1959	SF	B	TOR	DET	4	2	0	20	16	179
1959	SCF	C	MTL	TOR	4	0	0	15	5	180
1960	SF	A	CHI	MTL	4	2	0	16	15	181
1960	SF	B	DET	TOR	4	1	0	15	8	182
1960	SCF	C	CHI	DET	4	2	0	19	12	183
1961	SF	A	CHI	MTL	4	2	0	19	13	184
1961	SF	B	TOR	NYR	4	2	0	22	15	185
1961	SCF	C	TOR	CHI	4	2	0	18	15	186
1962	SF	A	TOR	MTL	4	1	0	14	6	187
1962	SF	B	DET	CHI	4	2	0	25	19	188
1962	SCF	C	TOR	DET	4	1	0	17	10	189
1963	SF	A	TOR	MTL	4	3	0	17	14	190
1963	SF	B	DET	CHI	4	3	0	24	18	191
1963	SCF	C	TOR	DET	4	3	0	22	17	192
1964	SF	A	CHI	DET	4	3	0	23	19	193
1964	SF	B	MTL	TOR	4	2	0	17	14	194
1964	SCF	C	MTL	CHI	4	3	0	18	12	195
1965	SF	A	MTL	TOR	4	0	0	15	6	196
1965	SF	B	DET	CHI	4	2	0	22	10	197
1965	SCF	C	MTL	DET	4	2	0	18	14	198
1966	SF	A	TOR	CHI	4	2	0	18	14	199
1966	SF	B	MTL	NYR	4	0	0	14	8	200
1966	SCF	C	TOR	MTL	4	2	0	17	16	201
1967	QF	A	MTL	BOS	4	0	0	15	8	202
1967	QF	B	CHI	NYR	4	2	0	18	12	203
1967	QF	C	STL	PHI	4	3	0	17	17	204
1967	QF	D	MNS	LAK	4	3	0	26	21	205
1967	SF	E	MTL	CHI	4	1	0	22	10	206
1967	SF	F	STL	MNS	4	3	0	18	22	207
1967	SCF	G	MTL	STL	4	0	0	11	7	208
1968	QF	A	MTL	NYR	4	0	0	16	7	209
1968	QF	B	BOS	TOR	4	0	0	24	5	210
1968	QF	C	STL	PHI	4	0	0	17	3	211
1968	QF	D	LAK	OAK	4	3	0	23	25	212
1968	SF	E	MTL	BOS	4	2	0	15	16	213
1968	SF	F	STL	LAK	4	0	0	16	5	214
1968	SCF	G	MTL	STL	4	0	0	12	3	215
1969	QF	A	CHI	DET	4	0	0	16	8	216
1969	QF	B	BOS	NYR	4	2	0	25	16	217
1969	QF	C	STL	MNS	4	2	0	20	16	218
1969	QF	D	PIT	OAK	4	0	0	13	6	219
1969	SF	E	BOS	CHI	4	0	0	20	10	220
1969	SF	F	STL	PIT	4	2	0	19	10	221
1969	SCF	G	BOS	STL	4	0	0	20	7	222
1970	QF	A	MTL	BOS	4	3	0	28	26	223
1970	QF	B	NYR	TOR	4	2	0	16	15	224
1970	QF	C	CHI	PHI	4	0	0	20	8	225
1970	QF	D	MNS	STL	4	2	0	16	15	226
1970	SF	E	MTL	MNS	4	2	0	27	19	227
1970	SF	F	CHI	NYR	4	3	0	21	14	228
1970	SCF	G	MTL	CHI	4	3	0	20	18	229
1971	QF	A	BOS	TOR	4	1	0	18	10	230
1971	QF	B	NYR	MTL	4	2	0	19	14	231
1971	QF	C	CHI	PIT	4	0	0	14	8	232
1971	QF	D	STL	MNS	4	3	0	19	19	233
1971	SF	E	BOS	STL	4	0	0	28	8	234
1971	SF	F	NYR	CHI	4	0	0	17	9	235
1971	SCF	G	BOS	NYR	4	2	0	18	16	236
1972	QF	A	MTL	BUF	4	2	0	21	16	237
1972	QF	B	NYR	BOS	4	1	0	22	11	238
