year	lgID	tmID	rank	Games	Wins	Losses	Ties	Points	GF	GA	Name	PIM	tmNumber
1909	NHA	COB	4	12	4	8	0	8	79	104	Cobalt Silver Kings		1
1909	NHA	HAI	5	12	4	8	0	8	77	83	Haileybury Hockey Club		2
1909	NHA	LES	7	12	2	10	0	4	59	100	Les Canadiens		3
1909	NHA	MOS	6	12	3	8	1	7	52	95	Montreal Shamrocks		4
1909	NHA	MOW	1	12	11	1	0	22	91	41	Montreal Wanderers		5
1909	NHA	OT1	2	12	9	3	0	18	89	66	Ottawa Senators		6
1909	NHA	REN	3	12	8	3	1	17	96	54	Renfrew Creamery Kings		7
1910	NHA	MOC	2	16	8	8	0	16	66	62	Montreal Canadiens		8
1910	NHA	MOW	4	16	7	9	0	14	73	88	Montreal Wanderers		9
1910	NHA	OT1	1	16	13	3	0	26	122	69	Ottawa Senators		10
1910	NHA	QU1	5	16	4	12	0	8	65	97	Quebec Bulldogs		11
1910	NHA	REN	3	16	8	8	0	16	91	101	Renfrew Creamery Kings		12
1911	NHA	MOC	4	18	8	10	0	16	59	66	Montreal Canadiens		13
1911	NHA	MOW	3	18	9	9	0	18	95	96	Montreal Wanderers		14
1911	NHA	OT1	2	18	9	9	0	18	99	93	Ottawa Senators		15
1911	NHA	QU1	1	18	10	8	0	20	81	79	Quebec Bulldogs		16
1911	PCHA	NWR	1	15	9	6	0	18	78	77	New Westminster Royals		17
1911	PCHA	VA1	3	16	7	9	0	14	81	90	Victoria Aristocrats		18
1911	PCHA	VML	2	15	7	8	0	14	102	94	Vancouver Millionaires		19
1912	NHA	MOC	5	20	9	11	0	18	83	81	Montreal Canadiens		20
1912	NHA	MOW	2	20	10	10	0	20	93	90	Montreal Wanderers		21
1912	NHA	OT1	3	20	9	11	0	18	87	81	Ottawa Senators		22
1912	NHA	QU1	1	20	16	4	0	32	112	75	Quebec Bulldogs		23
1912	NHA	TBS	4	20	9	11	0	18	86	95	Toronto Blueshirts		24
1912	NHA	TO1	6	20	7	13	0	14	59	98	Toronto Tecumsehs		25
1912	PCHA	NWR	3	13	4	9	0	8	46	61	New Westminster Royals		26
1912	PCHA	VA1	1	15	10	5	0	20	68	56	Victoria Aristocrats		27
1912	PCHA	VML	2	14	7	7	0	14	71	68	Vancouver Millionaires		28
1913	NHA	MOC	2	20	13	7	0	26	85	65	Montreal Canadiens		29
1913	NHA	MOW	5	20	7	13	0	14	102	125	Montreal Wanderers		30
1913	NHA	OT1	4	20	11	9	0	22	65	71	Ottawa Senators		31
1913	NHA	QU1	3	20	12	8	0	24	111	73	Quebec Bulldogs		32
1913	NHA	TBS	1	20	13	7	0	26	93	65	Toronto Blueshirts		33
1913	NHA	TOO	6	20	4	16	0	8	61	118	Toronto Ontarios		34
1913	PCHA	NWR	3	16	7	9	0	14	75	81	New Westminster Royals		35
1913	PCHA	VA1	1	16	10	6	0	20	86	80	Victoria Aristocrats		36
1913	PCHA	VML	2	16	7	9	0	14	89	89	Vancouver Millionaires		37
1914	NHA	MOC	6	20	6	14	0	12	65	81	Montreal Canadiens		38
1914	NHA	MOW	2	20	14	6	0	28	127	82	Montreal Wanderers		39
1914	NHA	OT1	1	20	14	6	0	28	74	65	Ottawa Senators		40
1914	NHA	QU1	3	20	11	9	0	22	85	85	Quebec Bulldogs		41
1914	NHA	TBS	4	20	8	12	0	16	66	84	Toronto Blueshirts		42
1914	NHA	TOO	5	20	7	13	0	14	76	96	Toronto Ontarios/Shamrocks		43
1914	PCHA	PO1	2	18	9	9	0	18	91	83	Portland Rosebuds		44
1914	PCHA	VA1	3	17	4	13	0	8	64	116	Victoria Aristocrats		45
1914	PCHA	VML	1	17	13	4	0	26	115	71	Vancouver Millionaires		46
1915	NHA	MOC	1	24	16	7	1	33	104	76	Montreal Canadiens		47
1915	NHA	MOW	4	24	10	14	0	20	90	116	Montreal Wanderers		48
1915	NHA	OT1	2	24	13	11	0	26	78	72	Ottawa Senators		49
1915	NHA	QU1	3	24	10	12	2	22	91	98	Quebec Bulldogs		50
1915	NHA	TBS	5	24	9	14	1	19	97	98	Toronto Blueshirts		51
1915	PCHA	PO1	1	18	13	5	0	26	71	50	Portland Rosebuds		52
1915	PCHA	SEA	3	18	9	9	0	18	68	67	Seattle Metropolitans		53
1915	PCHA	VA1	4	18	5	13	0	10	74	102	Victoria Aristocrats		54
1915	PCHA	VML	2	18	9	9	0	18	75	69	Vancouver Millionaires		55
1916	NHA	MOC	2	20	10	10	0	20	89	80	Montreal Canadiens		56
1916	NHA	MOW	6	20	5	15	0	10	94	137	Montreal Wanderers		57
1916	NHA	OT1	1	20	15	5	0	30	119	63	Ottawa Senators		58
1916	NHA	QU1	2	20	10	10	0	20	97	126	Quebec Bulldogs		59
1916	NHA	TBS	4	14	7	7	0	14	64	61	Toronto Blueshirts		60
1916	NHA	TOB	4	14	7	7	0	14	73	69	228th Battalion		61
1916	PCHA	PO1	3	24	9	15	0	18	114	112	Portland Rosebuds		62
1916	PCHA	SEA	1	24	16	8	0	32	125	80	Seattle Metropolitans		63
1916	PCHA	SPO	4	23	8	15	0	16	89	143	Spokane Canaries		64
1916	PCHA	VML	2	23	14	9	0	28	131	124	Vancouver Millionaires		65
1917	NHL	MTL	1	22	13	9	0	26	115	84	Montreal Canadiens	336	66
1917	NHL	MTW	4	6	1	5	0	2	17	35	Montreal Wanderers	27	67
