scoreID,accm_txn_complete_time
1,5/14/2022 16:30
2,5/14/2022 13:43
3,5/14/2022 21:48
4,5/12/2022 18:33
5,5/13/2022 18:35
6,5/14/2022 7:42
7,5/12/2022 0:17
8,5/12/2022 11:32
9,5/14/2022 17:30
10,5/12/2022 14:06
11,5/14/2022 21:24
12,5/14/2022 6:46
13,5/13/2022 14:04
14,5/14/2022 13:31
15,5/13/2022 14:00
16,5/13/2022 21:16
17,5/13/2022 17:11
18,5/13/2022 1:41
19,5/12/2022 12:34
20,5/12/2022 5:13
21,5/13/2022 23:02
22,5/12/2022 16:57
23,5/12/2022 8:11
24,5/12/2022 1:42
25,5/14/2022 22:01
26,5/13/2022 9:15
27,5/14/2022 19:43
28,5/13/2022 10:32
29,5/12/2022 13:13
30,5/12/2022 22:23
31,5/14/2022 23:00
32,5/13/2022 0:09
33,5/12/2022 2:06
34,5/12/2022 23:25
35,5/13/2022 8:45
36,5/14/2022 21:00
37,5/14/2022 5:41
38,5/14/2022 22:58
39,5/14/2022 11:39
40,5/12/2022 14:38
41,5/12/2022 6:27
42,5/13/2022 14:43
43,5/13/2022 9:58
44,5/12/2022 13:29
45,5/12/2022 19:37
46,5/12/2022 13:31
47,5/14/2022 0:21
48,5/14/2022 23:44
49,5/14/2022 11:24
50,5/13/2022 4:40
51,5/14/2022 4:06
52,5/12/2022 22:08
53,5/12/2022 12:10
54,5/14/2022 21:48
55,5/14/2022 20:37
56,5/12/2022 0:19
57,5/13/2022 15:38
58,5/12/2022 2:26
59,5/12/2022 13:02
60,5/13/2022 17:22
61,5/12/2022 23:22
62,5/13/2022 2:21
63,5/13/2022 8:01
64,5/12/2022 6:58
65,5/13/2022 3:52
66,5/13/2022 22:09
67,5/12/2022 17:31
68,5/14/2022 3:58
69,5/14/2022 12:56
70,5/14/2022 7:50
71,5/13/2022 23:58
72,5/12/2022 17:22
73,5/12/2022 10:13
74,5/13/2022 7:09
75,5/12/2022 17:29
76,5/14/2022 20:18
77,5/14/2022 23:02
78,5/12/2022 0:24
79,5/12/2022 4:44
80,5/14/2022 2:08
81,5/12/2022 14:43
82,5/14/2022 12:12
83,5/12/2022 22:00
84,5/13/2022 20:18
85,5/12/2022 6:27
86,5/13/2022 5:03
87,5/12/2022 18:16
88,5/12/2022 16:06
89,5/14/2022 14:28
90,5/14/2022 9:53
91,5/12/2022 5:48
92,5/14/2022 15:44
93,5/13/2022 16:41
94,5/14/2022 10:59
95,5/12/2022 11:46
96,5/14/2022 12:51
97,5/14/2022 3:22
98,5/12/2022 1:38
99,5/13/2022 0:48
100,5/13/2022 15:50
101,5/14/2022 23:00
102,5/14/2022 5:59
103,5/13/2022 15:57
104,5/13/2022 6:07
105,5/13/2022 3:23
106,5/14/2022 13:23
107,5/14/2022 3:39
108,5/12/2022 13:37
109,5/14/2022 16:18
110,5/13/2022 22:08
111,5/14/2022 22:56
112,5/12/2022 11:15
113,5/12/2022 7:35
114,5/12/2022 14:12
115,5/13/2022 6:59
116,5/13/2022 4:50
117,5/13/2022 14:11
118,5/12/2022 6:57
119,5/14/2022 22:28
120,5/12/2022 16:38
121,5/12/2022 10:17
122,5/12/2022 7:03
123,5/14/2022 2:50
124,5/12/2022 19:34
125,5/14/2022 1:51
126,5/14/2022 5:43
127,5/13/2022 12:16
128,5/12/2022 15:10
129,5/13/2022 1:26
130,5/12/2022 1:58
131,5/12/2022 11:26
132,5/14/2022 3:54
133,5/12/2022 5:35
134,5/13/2022 22:48
135,5/13/2022 6:58
136,5/12/2022 6:36
137,5/14/2022 9:35
138,5/13/2022 10:21
139,5/13/2022 11:00
140,5/13/2022 16:25
141,5/13/2022 21:05
142,5/13/2022 4:22
143,5/12/2022 15:20
144,5/12/2022 0:56
145,5/14/2022 23:43
146,5/12/2022 23:37
147,5/14/2022 4:56
148,5/12/2022 9:09
149,5/13/2022 17:07
150,5/14/2022 7:29
151,5/12/2022 11:11
152,5/13/2022 14:28
153,5/12/2022 19:43
154,5/12/2022 19:58
155,5/13/2022 23:59
156,5/13/2022 23:53
157,5/13/2022 5:32
158,5/13/2022 2:03
159,5/12/2022 16:53
160,5/12/2022 0:17
161,5/12/2022 11:55
